symbol,ltp,base_qty,base_amount
ALPHA,46.27,2,92.54
AUTOIETF,26.69,9,240.21
GROWWDEFNC,82.9,1,82.9
TNIDETF,78.5,0,0.0
BFSI,26.79,4,107.16
CONSUMER,10.47,9,94.23
INFRAIETF,92.76,0,0.0
ITBEES,32.73,2,65.46
LOWVOLIETF,21.44,5,107.2
MOM30IETF,30.19,3,90.57000000000001
MULTICAP,15.34,6,92.03999999999999
TOP100CASE,10.26,14,143.64
FLEXIADD,9.47,14,132.58
PVTBANIETF,26.86,3,80.58
MIDCAPETF,21.25,3,63.75
NEXT50BETA,71.8,1,71.8
PVTBANKADD,26.8,5,134.0
PSUBNKIETF,90.0,1,90.0
NIFTYCASE,9.56,5,47.800000000000004
QUAL30IETF,20.02,8,160.16
MOREALTY,73.3,0,0.0
SENSEXETF,78.8,1,78.8
TATSILV,25.49,4,101.96
MIDSMALL,45.63,1,45.63
