symbol,ltp,base_qty,base_amount
ALPHA,42.55,6,255.29999999999998
AUTOIETF,24.56,5,122.8
GROWWDEFNC,73.35,1,73.35
TNIDETF,75.16,2,150.32
ENERGY,34.99,1,34.99
BFSI,24.37,7,170.59
FMCGIETF,48.8,1,48.8
PHARMABEES,22.88,3,68.64
ITBEES,32.0,3,96.0
LOWVOLIETF,20.15,10,201.5
MNC,28.0,19,532.0
MOM30IETF,27.95,4,111.8
TOP100CASE,9.64,10,96.4
FLEXIADD,8.93,12,107.16
PVTBANIETF,24.37,8,194.96
MIDCAPETF,19.85,8,158.8
NEXT50IETF,63.95,2,127.9
PVTBANKADD,24.5,8,196.0
PSUBNKBEES,87.6,2,175.2
NIFTYCASE,8.95,8,71.6
GROWWRAIL,27.88,7,195.16
EQUAL200,11.84,10,118.4
MOREALTY,65.2,1,65.2
HDFCSENSEX,81.4,1,81.4
SML100CASE,8.7,12,104.39999999999999
VAL30IETF,14.31,6,85.86
