customer_id,username,monthly_target,month_invested,remaining_target,multiplier,market_condition,estimated_investment
smartetf_user_10010,Jasneet,20000.0,,,2.5,sip_ratio,7429.199999999999
smartetf_user_10017,meenudewani,20000.0,,,2.5,sip_ratio,7429.199999999999
smartetf_user_10013,abcd_user,8000.0,,,1.0,sip_ratio,2971.68
smartetf_user_10006,drcvrathore,20000.0,,,2.5,sip_ratio,7429.199999999999
smartetf_user_10001,coolshrey,8500.0,,,1.06,sip_ratio,3149.9808
smartetf_user_10008,MKMK2011,20000.0,,,2.5,sip_ratio,7429.199999999999
smartetf_user_10016,engshrey,8500.0,,,1.06,sip_ratio,3149.9808
smartetf_user_10015,ashok19184,8000.0,,,1.0,sip_ratio,2971.68
smartetf_user_10005,Sanjeev,100000.0,,,12.5,sip_ratio,37146.0
smartetf_user_10012,Ankit,8000.0,,,1.0,sip_ratio,2971.68
