customer_id,username,monthly_target,month_invested,remaining_target,multiplier,market_condition,estimated_investment
smartetf_user_10010,Jasneet,20000.0,,,2.5,sip_ratio,5307.524999999999
smartetf_user_10001,coolshrey,25000.0,,,3.12,sip_ratio,6623.791200000001
smartetf_user_10013,smartetf_user_10013,8000.0,,,1.0,sip_ratio,2123.0099999999998
smartetf_user_10019,rajeshmenghrani1978,100000.0,,,12.5,sip_ratio,26537.625
smartetf_user_10006,drcvrathore,20000.0,,,2.5,sip_ratio,5307.524999999999
smartetf_user_10008,MKMK2011,20000.0,,,2.5,sip_ratio,5307.524999999999
smartetf_user_10017,meenudewani,50000.0,,,6.25,sip_ratio,13268.8125
smartetf_user_10023,new_user,8000.0,,,1.0,sip_ratio,2123.0099999999998
smartetf_user_10016,engshrey,8500.0,,,1.06,sip_ratio,2250.3906
smartetf_user_10015,ashok19184,8000.0,,,1.0,sip_ratio,2123.0099999999998
smartetf_user_10005,Sanjeev,100000.0,,,12.5,sip_ratio,26537.625
smartetf_user_10012,Ankit,8000.0,,,1.0,sip_ratio,2123.0099999999998
