customer_id,username,monthly_target,month_invested,remaining_target,multiplier,market_condition,estimated_investment
smartetf_user_10010,Jasneet,20000.0,,,2.5,sip_ratio,961.575
smartetf_user_10001,coolshrey,25000.0,,,3.12,sip_ratio,1200.0456
smartetf_user_10013,smartetf_user_10013,8000.0,,,1.0,sip_ratio,384.63
smartetf_user_10019,rajeshmenghrani1978,100000.0,,,12.5,sip_ratio,4807.875
smartetf_user_10006,drcvrathore,20000.0,,,2.5,sip_ratio,961.575
smartetf_user_10008,MKMK2011,20000.0,,,2.5,sip_ratio,961.575
smartetf_user_10017,meenudewani,50000.0,,,6.25,sip_ratio,2403.9375
smartetf_user_10016,engshrey,8500.0,,,1.06,sip_ratio,407.7078
smartetf_user_10015,ashok19184,8000.0,,,1.0,sip_ratio,384.63
smartetf_user_10005,Sanjeev,100000.0,,,12.5,sip_ratio,4807.875
smartetf_user_10012,Ankit,8000.0,,,1.0,sip_ratio,384.63
