symbol,ltp,base_qty,base_amount
ALPHA,48.08,1,48.08
AUTOIETF,29.24,1,29.24
OILIETF,11.75,13,152.75
FINIETF,32.6,1,32.6
AONEGOLD,12.66,6,75.96000000000001
PHARMABEES,23.54,3,70.62
INFRAIETF,96.42,1,96.42
ITBEES,41.65,3,124.94999999999999
LOWVOLIETF,23.2,3,69.6
METALIETF,11.19,16,179.04
MOM30IETF,31.7,2,63.4
MULTICAP,16.47,6,98.82
TOP100CASE,11.05,8,88.4
GROWWN200,11.69,9,105.21
GROWWNIFTY,10.4,6,62.400000000000006
SBIBPB,50.0,2,100.0
MIDCAPETF,22.6,5,113.0
NEXT50IETF,72.74,1,72.74
PSUBNKIETF,86.65,1,86.65
GROWWRAIL,34.72,4,138.88
TATSILV,22.65,17,385.04999999999995
SMALLCAP,43.71,2,87.42
MOVALUE,115.06,1,115.06
