customer_id,username,monthly_target,month_invested,remaining_target,multiplier,market_condition,estimated_investment
smartetf_user_10010,Jasneet,20000.0,,,2.5,sip_ratio,88.375
smartetf_user_10017,meenudewani,20000.0,,,2.5,sip_ratio,88.375
smartetf_user_10001,coolshrey,25000.0,,,3.12,sip_ratio,110.292
smartetf_user_10013,smartetf_user_10013,8000.0,,,1.0,sip_ratio,35.35
smartetf_user_10006,drcvrathore,20000.0,,,2.5,sip_ratio,88.375
smartetf_user_10008,MKMK2011,20000.0,,,2.5,sip_ratio,88.375
smartetf_user_10016,engshrey,8500.0,,,1.06,sip_ratio,37.471000000000004
smartetf_user_10015,ashok19184,8000.0,,,1.0,sip_ratio,35.35
smartetf_user_10005,Sanjeev,100000.0,,,12.5,sip_ratio,441.875
smartetf_user_10012,Ankit,8000.0,,,1.0,sip_ratio,35.35
