"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"GROWWRAIL","Nifty India Railways PSU Index","35.51","36.07","35.30","35.34","36.06","-","0.72","2.04","1,58,937","0.57","35.26","43.66","28.72",-8.26,"-","-","04-Jul-2025"
"SILVERIETF","Domestic Price of Silver","111.65","112.64","111.15","110.07","112.30","-","2.23","2.03","14,07,765","15.77","110.00","117.42","80.05",1.8,"02-Aug-2024","28.89","04-Jul-2025"
"GOLD360","Commodity-Gold","99.50","99.50","96.60","96.75","98.70","-","1.95","2.02","6,791","0.07","96.78","113.10","78.20",0.62,"-","-","04-Jul-2025"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","68.62","70.00","68.59","68.62","70.00","-","1.38","2.01","8,78,137","6.05","68.55","76.20","55.80",-5.33,"02-Aug-2024","-5.82","04-Jul-2025"
"BSLGOLDETF","Gold","88.95","88.95","87.31","86.84","88.55","-","1.71","1.97","2,02,247","1.79","86.50","93.03","56.57",0.71,"02-Aug-2024","37.34","04-Jul-2025"
"MOREALTY","Motilal Oswal Nifty Realty ETF","90.85","91.55","89.56","89.78","91.55","-","1.77","1.97","1,81,290","1.64","89.62","113.80","77.00",-7.68,"02-Aug-2024","-14.11","04-Jul-2025"
"ECAPINSURE","BSE Capital Markets & Insurance Total Return Index","21.88","23.00","21.34","22.56","23.00","-","0.44","1.95","37,165","0.08","22.49","26.77","17.13",-4.29,"-","-","04-Jul-2025"
"SBIETFCON","Nifty India Consumption Index","120.94","122.77","120.39","120.43","122.77","-","2.34","1.94","8,846","0.11","120.29","136.00","101.64",-0.35,"02-Aug-2024","0.40","04-Jul-2025"
"GOLDCASE","Zerodha Gold ETF","15.70","15.86","15.42","15.53","15.83","-","0.30","1.93","33,96,018","5.37","15.50","16.26","10.75",0.98,"02-Aug-2024","37.80","04-Jul-2025"
"GOLDSHARE","Gold","85.30","85.30","83.55","82.75","84.30","-","1.55","1.87","6,21,039","5.23","82.51","86.30","58.55",1.04,"02-Aug-2024","37.69","04-Jul-2025"
"GOLD1","Gold","84.50","84.50","83.02","82.38","83.92","-","1.54","1.87","9,43,826","7.92","82.20","86.48","58.25",1.13,"02-Aug-2024","37.44","04-Jul-2025"
"GOLDETFADD","DSP Gold ETF","96.29","98.07","96.29","95.81","97.59","-","1.78","1.86","5,25,394","5.14","95.69","100.00","67.88",0.99,"02-Aug-2024","37.46","04-Jul-2025"
"GROWWGOLD","Commodity","97.53","98.70","97.46","96.86","98.64","-","1.78","1.84","1,28,557","1.27","96.68","101.02","73.00",1.3,"-","-","04-Jul-2025"
"ITETFADD","DSP Nifty IT ETF","36.97","36.97","35.80","36.07","36.73","-","0.66","1.83","7,78,838","2.80","35.98","48.66","32.61",-11.05,"02-Aug-2024","-10.85","04-Jul-2025"
"QGOLDHALF","Gold","83.31","83.69","82.78","81.68","83.15","-","1.47","1.80","2,33,715","1.94","81.24","83.99","57.60",1.25,"02-Aug-2024","37.62","04-Jul-2025"
"HNGSNGBEES","Hang Seng Index","417.99","423.99","414.00","413.85","421.23","-","7.38","1.78","1,20,678","5.06","397.01","448.90","269.02",7.52,"02-Aug-2024","43.12","04-Jul-2025"
"FINIETF","ICICI Prudential Nifty Financial Services Ex-Bank ETF","29.46","29.83","29.30","29.29","29.81","-","0.52","1.78","3,37,518","1.00","29.24","32.37","24.13",-4.69,"02-Aug-2024","14.41","04-Jul-2025"
"EGOLD","Edelweiss Gold ETF","99.20","100.70","99.15","98.75","100.50","-","1.75","1.77","50,344","0.51","98.70","103.35","70.00",0.87,"02-Aug-2024","37.73","04-Jul-2025"
"TATAGOLD","Tata Gold Exchange Traded Fund","9.84","9.93","9.36","9.60","9.77","-","0.17","1.77","1,44,56,003","14.09","9.68","11.43","6.82",1.05,"02-Aug-2024","37.73","04-Jul-2025"
"HDFCNIFIT","HDFC NIFTY IT ETF","37.31","37.31","36.08","36.40","37.03","-","0.63","1.73","40,920","0.15","36.31","47.74","32.24",-11.24,"02-Aug-2024","-10.59","04-Jul-2025"
"HDFCGOLD","Gold","86.93","86.93","85.31","84.52","85.95","-","1.43","1.69","21,28,728","18.28","84.18","87.91","59.57",1.27,"02-Aug-2024","36.39","04-Jul-2025"
"MOGOLD","Domestic Price of Physical Gold","100.15","100.15","99.25","97.75","99.40","-","1.65","1.69","946","0.01","97.77","100.15","97.70","-","-","-","-"
"TECH","Nifty IT TRI Index","38.05","38.05","36.74","37.13","37.74","-","0.61","1.64","54,031","0.20","36.91","49.77","33.41",-10.49,"02-Aug-2024","-10.64","04-Jul-2025"
"ITIETF","Nifty IT Index","37.85","38.45","37.50","37.81","38.43","-","0.62","1.64","8,08,053","3.06","37.76","49.53","33.43",-11.06,"02-Aug-2024","-11.06","04-Jul-2025"
"AXISGOLD","Gold","84.93","84.93","83.07","82.46","83.80","-","1.34","1.63","6,66,074","5.59","82.19","85.88","58.20",1.26,"02-Aug-2024","37.41","04-Jul-2025"
"GOLDIETF","Gold","86.68","87.11","85.40","84.57","85.95","-","1.38","1.63","16,93,497","14.55","84.27","88.51","59.00",1.46,"02-Aug-2024","37.22","04-Jul-2025"
"SETFGOLD","Gold","86.48","86.93","85.39","84.38","85.75","-","1.37","1.62","40,25,764","34.55","84.08","97.00","58.65",1.24,"02-Aug-2024","37.14","04-Jul-2025"
"ITBEES","Nifty IT TRI","37.85","39.01","37.52","37.87","38.48","-","0.61","1.61","82,02,997","31.22","37.80","49.76","33.63",-10.96,"02-Aug-2024","-11.08","04-Jul-2025"
"GOLDETF","Mirae Asset Gold ETF","97.79","97.88","97.02","96.08","97.63","-","1.55","1.61","4,82,310","4.71","95.83","99.59","67.60",0.89,"02-Aug-2024","37.87","04-Jul-2025"
"MONIFTY500","Motilal Oswal Nifty 500 ETF","23.69","23.69","23.10","23.12","23.49","-","0.37","1.60","3,78,515","0.88","23.01","25.00","19.50",-2.65,"02-Aug-2024","-1.91","04-Jul-2025"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","87.97","88.73","86.99","87.33","88.73","-","1.40","1.60","21,240","0.19","87.16","101.33","75.61",-3.93,"02-Aug-2024","-8.71","04-Jul-2025"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","76.74","77.08","75.44","75.87","77.08","-","1.21","1.59","4,41,663","3.36","75.64","99.00","68.30",-4.72,"02-Aug-2024","-11.57","04-Jul-2025"
"MAKEINDIA","Nifty India Manufacturing Total Return Index","146.44","146.44","142.17","142.17","144.43","-","2.26","1.59","42,768","0.61","142.10","161.10","119.50",-3.91,"02-Aug-2024","-5.48","04-Jul-2025"
"NIFITETF","UTI Nifty IT ETF","359.00","363.87","355.80","358.13","363.77","-","5.64","1.57","763","0.03","357.13","469.99","325.00",-10.8,"02-Aug-2024","-10.99","04-Jul-2025"
"MOMGF","Nifty India Manufacturing Total Return Index","141.00","142.04","141.00","139.73","141.91","-","2.18","1.56","235","-","139.63","148.42","139.14",-3.97,"-","-","04-Jul-2025"
"GOLDBEES","Gold","83.99","83.99","82.71","81.95","83.20","-","1.25","1.53","1,31,90,272","109.69","81.61","85.00","57.91",1.31,"02-Aug-2024","37.34","04-Jul-2025"
"LICNMID100","LIC MF Nifty Midcap 100 ETF","56.12","57.64","56.12","56.79","57.64","-","0.85","1.50","3,693","0.02","56.81","65.00","46.03",-5.27,"02-Aug-2024","-1.95","04-Jul-2025"
"SBIETFIT","Nifty IT Index","380.96","384.17","375.44","378.24","383.89","-","5.65","1.49","8,166","0.31","377.34","510.00","335.00",-10.95,"02-Aug-2024","-10.96","04-Jul-2025"
"VAL30IETF","Nifty200 Value 30 Index","12.78","12.91","12.71","12.72","12.91","-","0.19","1.49","85,225","0.11","12.70","14.14","10.93",-4.79,"-","-","04-Jul-2025"
"LICMFGOLD","Gold","9,162.95","9,162.95","8,966.60","8,921.00","9,052.00","-","131.00","1.47","5,305","4.83","-","9,200.00","6,266.00",1.15,"02-Aug-2024","38.27","04-Jul-2025"
"AXISTECETF","NIFTY IT Index","376.01","383.45","373.13","376.03","381.57","-","5.54","1.47","2,905","0.11","374.91","498.96","341.00",-10.95,"02-Aug-2024","-10.94","04-Jul-2025"
"PSUBANKADD","DSP Nifty PSU Bank ETF","68.62","69.30","68.25","68.30","69.30","-","1.00","1.46","5,15,695","3.53","68.12","77.00","55.47",-4.94,"02-Aug-2024","-5.64","04-Jul-2025"
"AUTOBEES","Nifty Auto TRI","245.12","248.11","240.84","240.88","244.40","-","3.52","1.46","1,13,855","2.77","240.48","285.00","197.07",-1.7,"02-Aug-2024","-8.40","04-Jul-2025"
"SELECTIPO","BSE Select IPO Index","48.52","48.98","48.25","48.28","48.98","-","0.70","1.45","28,984","0.14","48.28","51.40","35.40",-1.31,"-","-","04-Jul-2025"
"MOTOUR","Nifty India Tourism Total Return Index","90.34","91.52","90.31","90.22","91.52","-","1.30","1.44","1,058","0.01","90.33","97.20","85.82",-2.73,"-","-","04-Jul-2025"
"MIDCAP","Nifty Midcap 50 Index","163.05","165.39","162.41","163.06","165.39","-","2.33","1.43","43,371","0.71","162.43","181.00","134.98",-4.79,"02-Aug-2024","-1.70","04-Jul-2025"
"MOM100","Nifty Midcap 100","61.50","62.72","60.76","60.93","61.80","-","0.87","1.43","3,80,367","2.33","60.82","66.45","50.30",-4.98,"02-Aug-2024","-2.07","04-Jul-2025"
"MOMIDMTM","Nifty Midcap 150 Momentum 50 Total Return Index","62.69","62.70","61.63","61.57","62.43","-","0.86","1.40","20,337","0.13","61.49","65.85","61.10","-","-","-","-"
"ITETF","Mirae Asset Nifty IT ETF","36.99","36.99","35.74","36.09","36.59","-","0.50","1.39","2,39,505","0.86","36.00","48.05","31.70",-11.04,"02-Aug-2024","-10.78","04-Jul-2025"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","68.80","69.41","68.37","68.46","69.41","-","0.95","1.39","28,720","0.20","68.32","75.18","55.68",-4.89,"02-Aug-2024","-5.74","04-Jul-2025"
"SHARIABEES","Shariah","498.97","498.97","485.49","486.80","493.51","-","6.71","1.38","10,802","0.53","485.53","617.70","439.91",-5.39,"02-Aug-2024","-14.84","04-Jul-2025"
"ALPHAETF","Mirae Asset Nifty 200 Alpha 30 ETF","24.85","24.97","24.56","24.58","24.92","-","0.34","1.38","6,65,060","1.65","24.56","30.20","19.61",-4.43,"02-Aug-2024","-13.60","04-Jul-2025"
"GROWWMOM50","Nifty 500 Momentum 50 Index- Total Return Index","10.34","10.50","10.27","10.29","10.43","-","0.14","1.36","4,63,612","0.48","10.28","12.00","9.11",-5.77,"-","-","04-Jul-2025"
"EVINDIA","Nifty EV and New Age Automotive Total Return Index","28.75","29.23","28.63","28.75","29.14","-","0.39","1.36","1,67,920","0.49","28.76","36.00","23.83",-2.64,"02-Aug-2024","-13.61","04-Jul-2025"
"ICICIB22","S&P BSE BHARAT 22 index","108.10","108.10","106.00","106.56","108.00","-","1.44","1.35","4,88,916","5.24","106.64","124.00","93.02",-3.46,"02-Aug-2024","-10.43","04-Jul-2025"
"SBIBPB","BSE PSU Bank Index TRI","39.49","40.02","39.45","39.49","40.02","-","0.53","1.34","7,580","0.03","39.37","48.80","34.37",-5.48,"-","-","04-Jul-2025"
"AUTOIETF","Nifty Auto Index","24.18","24.45","24.03","24.12","24.44","-","0.32","1.33","17,49,822","4.26","24.07","28.36","19.72",-1.67,"02-Aug-2024","-8.18","04-Jul-2025"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF","21.11","21.11","20.57","20.60","20.87","-","0.27","1.31","4,55,307","0.95","20.59","26.50","18.01",-4.36,"02-Aug-2024","-7.25","04-Jul-2025"
"CONSUMER","Nifty India New AgeConsumption","11.64","11.66","11.50","11.51","11.66","-","0.15","1.30","92,132","0.11","11.51","13.97","9.00",-1.96,"-","-","04-Jul-2025"
"LOWVOLIETF","Nifty 100 Low Volatility 30 Index","21.88","21.92","21.48","21.63","21.91","-","0.28","1.29","53,35,126","11.63","21.75","24.40","19.03",-2.52,"02-Aug-2024","-1.23","04-Jul-2025"
"INFRAIETF","ICICI Prudential Nifty Infrastructure ETF","92.33","93.50","91.90","92.32","93.50","-","1.18","1.28","3,72,260","3.44","92.02","100.10","77.65",-4.27,"02-Aug-2024","-3.63","04-Jul-2025"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","44.95","45.52","44.73","44.95","45.52","-","0.57","1.27","10,97,109","4.94","44.82","54.70","37.45",-6.74,"02-Aug-2024","-14.69","04-Jul-2025"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF","20.91","21.72","20.91","21.45","21.72","-","0.27","1.26","20,26,114","4.36","21.43","23.50","16.00",-3.9,"02-Aug-2024","-1.38","04-Jul-2025"
"MOM30IETF","ICICI Prudential Nifty 200 Momentum 30 ETF","31.21","31.21","30.39","30.45","30.83","-","0.38","1.25","10,72,515","3.28","30.39","39.42","25.00",-4.9,"02-Aug-2024","-16.92","04-Jul-2025"
"INFRABEES","Nifty Infra","932.54","938.11","924.34","926.40","938.00","-","11.60","1.25","5,334","0.50","926.41","1,020.00","783.98",-4.65,"02-Aug-2024","-4.65","04-Jul-2025"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","67.67","68.17","67.05","67.33","68.17","-","0.84","1.25","45,170","0.31","67.18","88.00","57.00",-2.98,"02-Aug-2024","-9.15","04-Jul-2025"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","31.04","31.04","30.30","30.29","30.67","-","0.38","1.25","31,264","0.10","30.23","39.57","25.75",-4.96,"02-Aug-2024","-16.97","04-Jul-2025"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","9.97","9.97","9.72","9.73","9.85","-","0.12","1.23","1,82,429","0.18","9.72","11.82","8.00",-5.17,"02-Aug-2024","-15.83","04-Jul-2025"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF","20.77","21.57","20.77","21.31","21.57","-","0.26","1.22","3,86,631","0.83","21.27","23.65","17.51",-3.97,"02-Aug-2024","-1.52","04-Jul-2025"
"TNIDETF","Nifty India Digital Index","90.21","91.45","89.61","90.35","91.45","-","1.10","1.22","81,341","0.74","90.43","104.78","75.00",-4.46,"02-Aug-2024","-2.56","04-Jul-2025"
"PSUBNKBEES","Nifty PSU Bank","73.82","77.61","73.82","75.72","76.64","-","0.92","1.22","39,12,628","29.78","75.56","83.15","61.54",-5.01,"02-Aug-2024","-5.82","04-Jul-2025"
"IT","NIFTY IT Index","38.19","38.44","37.42","37.72","38.18","-","0.46","1.22","2,42,842","0.92","37.63","49.50","32.55",-11.14,"02-Aug-2024","-10.89","04-Jul-2025"
"NEXT50","Nifty Next 50","685.50","685.98","676.03","677.77","685.97","-","8.20","1.21","7,911","0.54","677.14","899.00","573.45",-3.35,"02-Aug-2024","-9.05","04-Jul-2025"
"CONSUMIETF","Nifty India Consumption Index","120.62","121.84","120.00","120.40","121.84","-","1.44","1.20","50,319","0.61","120.68","154.00","101.23",-0.59,"02-Aug-2024","0.07","04-Jul-2025"
"EQUAL50ADD","NIFTY 50 Equal Weight Index","319.90","321.78","317.83","317.96","321.78","-","3.82","1.20","17,411","0.56","317.37","351.28","280.01",-3.75,"02-Aug-2024","-2.19","04-Jul-2025"
"NIFMID150","UTI Nifty Midcap 150 Exchange Traded Fund (ETF)","216.95","216.95","212.22","212.74","215.24","-","2.50","1.18","923","0.02","212.23","232.80","174.82",-3.76,"02-Aug-2024","-1.55","04-Jul-2025"
"HDFCLOWVOL","HDFC NIFTY100 Low Volatility 30 ETF","20.76","20.76","20.25","20.26","20.50","-","0.24","1.18","7,683","0.02","20.22","23.00","17.70",-1.6,"02-Aug-2024","-","04-Jul-2025"
"EMULTIMQ","Nifty500 Multicap Momentum Quality 50 Total Return Index","41.27","42.60","40.89","41.07","41.55","-","0.48","1.17","65,458","0.27","40.88","53.90","34.71",-6.1,"-","-","04-Jul-2025"
"NEXT30ADD","BSE SENSEX Next 30 Index","38.22","38.49","38.12","38.03","38.47","-","0.44","1.16","1,776","0.01","37.98","40.63","32.27",-3.13,"-","-","04-Jul-2025"
"JUNIORBEES","Nippon India ETF Nifty Next 50 Junior BeES","718.60","719.35","704.73","711.20","719.35","-","8.15","1.15","2,59,298","18.53","709.52","830.00","595.00",-3.32,"02-Aug-2024","-9.15","04-Jul-2025"
"MIDCAPIETF","Nifty Midcap 150","22.29","22.29","21.66","21.75","22.00","-","0.25","1.15","8,90,030","1.95","21.70","23.70","17.80",-3.8,"02-Aug-2024","-1.49","04-Jul-2025"
"BANKPSU","Nifty PSU Bank Total Return Index","68.30","68.98","68.14","68.07","68.85","-","0.78","1.15","74,550","0.51","68.01","77.00","55.29",-4.98,"-","-","04-Jul-2025"
"NEXT50IETF","Nifty Next 50","70.20","71.12","67.65","69.39","70.18","-","0.79","1.14","4,79,211","3.34","69.29","81.64","58.70",-3.3,"02-Aug-2024","-9.14","04-Jul-2025"
"SNXT30BEES","BSE Sensex Next 30 Index","38.13","38.43","38.03","38.00","38.43","-","0.43","1.13","1,217","-","37.89","40.76","37.03",-3.41,"-","-","04-Jul-2025"
"MNC","Kotak Nifty MNC ETF","29.50","29.80","28.63","29.20","29.53","-","0.33","1.13","1,04,006","0.30","29.30","33.48","24.52",-1.15,"02-Aug-2024","-6.41","04-Jul-2025"
"MOMENTUM50","Nifty 500 Momentum 50 Total Return Index","51.28","51.55","50.70","50.98","51.55","-","0.57","1.12","3,65,686","1.87","50.84","66.00","42.40",-5.68,"-","-","04-Jul-2025"
"HDFCMOMENT","HDFC NIFTY200 Momentum 30 ETF","30.97","30.97","30.02","30.22","30.55","-","0.33","1.09","1,16,544","0.35","30.10","39.50","25.50",-4.76,"02-Aug-2024","-16.54","04-Jul-2025"
"UTISXN50","BSE Sensex Next 50","89.67","89.67","85.75","87.85","88.80","-","0.95","1.08","4,216","0.04","87.59","96.27","66.72",-3.33,"02-Aug-2024","-2.78","04-Jul-2025"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index","26.88","27.17","26.85","26.88","27.17","-","0.29","1.08","10,99,339","2.97","26.87","32.67","24.00",-3.62,"02-Aug-2024","-11.67","04-Jul-2025"
"MID150BEES","Nifty Midcap 150 TRI","219.47","220.72","215.50","217.70","220.03","-","2.33","1.07","4,59,120","10.03","217.02","235.65","179.00",-3.46,"02-Aug-2024","-1.58","04-Jul-2025"
"MULTICAP","Nifty500 Multicap 50:25:25 Index","15.88","16.18","15.86","15.89","16.06","-","0.17","1.07","2,04,589","0.33","15.89","17.55","13.43",-3.99,"-","-","04-Jul-2025"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","21.33","21.33","20.40","20.81","21.03","-","0.22","1.06","1,09,248","0.23","20.77","25.10","18.30",-4.23,"02-Aug-2024","-7.06","04-Jul-2025"
"NV20BEES","Nifty50 Value20 TRI","144.59","146.16","143.57","144.65","146.16","-","1.51","1.04","1,52,380","2.21","144.30","175.00","130.00",-4.24,"02-Aug-2024","-9.39","04-Jul-2025"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","10.53","10.95","10.49","10.53","10.64","-","0.11","1.04","13,75,968","1.45","10.49","12.97","7.66",-3.57,"02-Aug-2024","-0.66","04-Jul-2025"
"MOPSE","Nifty PSE Total Return Index","95.66","96.49","95.66","95.51","96.49","-","0.98","1.03","708","0.01","95.47","101.66","95.31",-5.31,"-","-","04-Jul-2025"
"MIDSMALL","Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF","48.85","49.72","48.02","48.27","48.76","-","0.49","1.02","2,65,367","1.29","48.16","55.87","40.00",-5.48,"02-Aug-2024","-10.31","04-Jul-2025"
"SETFNN50","Nifty Next 50","708.00","712.46","701.11","704.50","711.69","-","7.19","1.02","39,531","2.79","703.03","825.60","585.51",-3.31,"02-Aug-2024","-9.11","04-Jul-2025"
"MONEXT50","Nifty Next 50 Total Return Index","66.00","66.63","65.80","65.81","66.48","-","0.67","1.02","15,598","0.10","65.68","69.67","63.54",-3.15,"-","-","04-Jul-2025"
"ABSLNN50ET","Nifty Next 50","69.90","69.90","68.20","69.17","69.87","-","0.70","1.01","16,120","0.11","69.08","82.05","58.37",-3.08,"02-Aug-2024","-9.55","04-Jul-2025"
"NIFTY100EW","Nifty 100 Equal Weight Index","32.94","32.94","32.09","32.14","32.46","-","0.32","1.00","4,722","0.02","32.05","34.55","24.25",-3.11,"-","-","04-Jul-2025"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF","101.20","108.50","99.49","99.76","100.75","-","0.99","0.99","45,484","0.46","99.54","114.10","85.91",-6.13,"02-Aug-2024","-8.53","04-Jul-2025"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","171.80","171.96","169.25","169.90","171.58","-","1.68","0.99","7,89,879","13.48","169.53","189.95","135.21",-4.65,"02-Aug-2024","-4.59","04-Jul-2025"
"GROWWN200","Nifty 200 Index- Total Return Index","11.34","11.35","10.90","11.07","11.18","-","0.11","0.99","1,45,770","0.16","11.05","12.45","9.00",-3.49,"-","-","04-Jul-2025"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","56.98","57.25","56.30","56.43","56.97","-","0.54","0.96","25,757","0.15","56.26","66.28","49.53",-3.36,"02-Aug-2024","-6.40","04-Jul-2025"
"EQUAL50","Nifty50 Equal Weight","308.54","310.93","308.54","307.98","310.93","-","2.95","0.96","152","-","307.75","331.65","303.44",-3.55,"-","-","04-Jul-2025"
"TOP100CASE","Zerodha Nifty 100 ETF","10.79","10.79","10.42","10.48","10.58","-","0.10","0.95","4,56,531","0.48","10.46","12.00","8.01",-3.32,"02-Aug-2024","-1.32","04-Jul-2025"
"EQUAL200","BSE 200 Equal Weight","12.81","12.85","12.71","12.71","12.83","-","0.12","0.94","1,56,491","0.20","10.88","13.75","11.03",-3.79,"-","-","04-Jul-2025"
"MIDSELIETF","S&P BSE Midcap Select Index","17.69","17.69","17.07","17.17","17.33","-","0.16","0.93","2,62,017","0.45","17.14","20.00","13.86",-4.4,"02-Aug-2024","-3.92","04-Jul-2025"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF","119.90","119.90","116.70","117.62","118.70","-","1.08","0.92","6,862","0.08","117.32","137.95","103.11",-2.15,"02-Aug-2024","-5.74","04-Jul-2025"
"AXSENSEX","AXIS S&P BSE SENSEX ETF","82.97","83.31","82.70","82.56","83.31","-","0.75","0.91","881","0.01","82.78","98.00","66.40",-3.02,"02-Aug-2024","0.22","04-Jul-2025"
